Unnamed: 0,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
lift,-76.09457397,-77.077034,51.02670288,63.42545319,2094205284
lift,-76.68851471,-78.41429901,38.40460968,70.59828949,2094221951
lift,-77.15053558,-79.6707077,38.20488739,78.4336853,2094238618
lift,-77.59423828,-80.79073334,30.55363655,78.65229797,2094255285
lift,-78.01490021,-81.89472961,27.52626228,79.05228424,2094271952
lift,-78.32744598,-83.00052643,15.17728138,75.44297028,2094288619
lift,-78.6053772,-83.88781738,12.59611988,66.465065,2094305286
lift,-78.87889862,-84.41230011,8.744715691,53.58185196,2094321953
lift,-79.16978455,-84.67222595,12.46876144,38.60164261,2094338620
lift,-79.38789368,-84.84668732,6.659572124,27.98605728,2094355287
lift,-79.52898407,-84.96620178,-0.66286993,19.14232254,2094371954
lift,-79.57624817,-85.00401306,-7.321380615,5.308265209,2094388621
lift,-79.57268524,-85.00428772,-9.113657951,-4.361280918,2094405288
lift,-79.53397369,-84.9781189,-5.49924469,-8.220169067,2094421955
lift,-79.50551605,-84.91773987,2.17584753,-8.69863987,2094438622
lift,-79.46567535,-84.87294769,4.25474596,-6.678845406,2094455289
lift,-79.42203522,-84.81824493,2.578639746,-1.583902478,2094471956
lift,-79.39356995,-84.68028259,-0.399059027,-6.00319767,2094488623
lift,-79.37966156,-84.47458649,-2.655641079,-10.32688236,2094505290
lift,-79.36370087,-84.28330231,-3.594103098,-7.640118122,2094521957
lift,-79.38212585,-84.14157867,-2.556211472,-2.726305962,2094538624
lift,-79.48015594,-84.0676651,1.998872995,0.638915241,2094555291
lift,-79.65518188,-84.07642365,6.910969257,3.433670282,2094571958
lift,-79.8069458,-84.15129089,6.292666435,7.99542284,2094588625
lift,-79.91275787,-84.21622467,5.013719082,7.836521149,2094605292
lift,-80.00691986,-84.23523712,3.998585224,3.749577522,2094621959
lift,-80.07300568,-84.21819305,1.80301249,0.652502775,2094638626
lift,-80.11435699,-84.17694855,-0.719716966,-0.947849274,2094655293
lift,-80.10839081,-84.12527466,-2.747615576,-2.98796463,2094671960
lift,-80.04637909,-84.07126617,-4.322119236,-4.851673603,2094688627
lift,-79.90723419,-83.99459076,-7.513041496,-6.532212734,2094705294
lift,-79.74936676,-83.87263489,-6.371239185,-8.248574257,2094721961
lift,-79.56938171,-83.7149353,-8.602989197,-9.912977219,2094738628
lift,-79.40795898,-83.53847504,-8.400084496,-11.41092491,2094755295
lift,-79.27999115,-83.34627533,-8.545948982,-13.57189846,2094771962
lift,-79.10569763,-83.13044739,-15.72397137,-17.45957184,2094788629
lift,-78.87574768,-82.86738586,-20.35734177,-21.25388145,2094805296
lift,-78.6313858,-82.54852295,-21.41182709,-24.83761787,2094821963
lift,-78.37613678,-82.18330383,-21.05331421,-28.52277374,2094838630
lift,-78.12585449,-81.7987442,-19.03851891,-30.80555344,2094855297
lift,-77.84122467,-81.41993713,-21.30865288,-29.27235794,2094871964
lift,-77.5056076,-81.02399445,-25.56667137,-29.46502686,2094888631
lift,-77.14070892,-80.54815674,-28.70353889,-34.62828827,2094905298
lift,-76.6986084,-80.01972198,-33.84183884,-36.16929626,2094921965
lift,-76.17166138,-79.52262878,-39.50621796,-33.92989731,2094938632
lift,-75.53225708,-78.96101379,-46.13139343,-38.51463699,2094955299
lift,-74.78164673,-78.32381439,-51.247509,-43.70376968,2094971966
lift,-73.90827942,-77.71738434,-58.52939606,-43.92596817,2094988633
lift,-73.0287323,-77.09053802,-59.36758804,-46.72070694,2095005300
lift,-72.11292267,-76.50687408,-59.7996254,-42.11299515,2095021967
